id,customer_message,gold_intent,gold_decision,human_overall_score,judge_overall_score,human_rater_notes
uber_gold_001,Why did Uber charge me 45 dollars for a 5 mile trip in normal traffic? Please refund this difference.,fare_and_billing_dispute,AUTO_HANDLE,4.0,5.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_002,I was charged twice on my credit card for the exact same ride from the airport!,fare_and_billing_dispute,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_003,My Paytm wallet was debited but the driver said payment failed and made me pay cash too!,fare_and_billing_dispute,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_004,How can I download a tax invoice and official PDF receipt for my ride last Tuesday?,fare_and_billing_dispute,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_005,Driver did not turn off the meter when I got dropped off and I got billed for extra 20 mins.,fare_and_billing_dispute,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_006,There is an unknown 15 dollar charge from Uber on my card and I haven't taken a ride in weeks.,fare_and_billing_dispute,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_007,Was charged surge pricing 2.5x even though the upfront fare quote showed normal rate.,fare_and_billing_dispute,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_008,Can you please refund the toll charge? The driver avoided the toll road completely.,fare_and_billing_dispute,AUTO_HANDLE,4.0,5.0,Verified against standard Uber support policy for fare_and_billing_dispute.
uber_gold_009,"Driver called me and asked me to cancel the trip because he didn't want to go south, and I got charged $5 fee!",cancellation_fee_issue,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for cancellation_fee_issue.
uber_gold_010,"I cancelled within 45 seconds of requesting because ETA was too long, why was I charged cancellation fee?",cancellation_fee_issue,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for cancellation_fee_issue.
uber_gold_011,"Driver was sitting at the same spot for 15 minutes and never came, so I had to cancel. Refund my fee!",cancellation_fee_issue,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for cancellation_fee_issue.
uber_gold_012,Why do you keep charging cancellation fees when drivers refuse to turn on AC?,cancellation_fee_issue,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for cancellation_fee_issue.
uber_gold_013,I was charged two cancellation fees back to back because the app crashed while dispatching.,cancellation_fee_issue,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for cancellation_fee_issue.
uber_gold_014,Where in the app can I see if my cancellation fee was refunded?,cancellation_fee_issue,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for cancellation_fee_issue.
uber_gold_015,"Driver was driving 90mph on the highway in heavy rain and weaving between trucks, I felt terrified.",driver_behavior_and_safety,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for driver_behavior_and_safety.
uber_gold_016,The driver started shouting obscenities at me when I asked him to turn down the radio.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for driver_behavior_and_safety.
uber_gold_017,"I suspect my driver was under the influence of alcohol, he was slurring his words.",driver_behavior_and_safety,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for driver_behavior_and_safety.
uber_gold_018,Driver refused to drop me at my doorstep late at night and told me to get out on the main road.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for driver_behavior_and_safety.
uber_gold_019,Driver made inappropriate personal comments about my appearance and asked for my personal number.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for driver_behavior_and_safety.
uber_gold_020,Driver refused to start the trip unless I agreed to pay an extra 200 rupees cash off the app.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for driver_behavior_and_safety.
uber_gold_021,I accidentally left my iPhone 13 in the back seat of the Honda Civic that dropped me at 8 PM.,lost_item_inquiry,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for lost_item_inquiry.
uber_gold_022,Left my brown leather wallet containing my driver license and credit cards in the car!,lost_item_inquiry,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for lost_item_inquiry.
uber_gold_023,I left my work laptop bag in the trunk and the driver is not answering calls from the app.,lost_item_inquiry,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for lost_item_inquiry.
uber_gold_024,Can Uber provide me the direct phone number of the driver? I left my house keys in the cab.,lost_item_inquiry,AUTO_HANDLE,5.0,5.0,Verified against standard Uber support policy for lost_item_inquiry.
uber_gold_025,"Left my passport in the vehicle and my international flight is in 3 hours, please help fast!",lost_item_inquiry,ESCALATE_TO_HUMAN,4.5,4.0,Verified against standard Uber support policy for lost_item_inquiry.
