conversation_id,customer_message,support_response,intent,turn_count
2ebba35de780d434b1068cd52787164b,Just setting up my Twitter. #myfirstTweet,Here to help! Send us a note via [URL] so our team can connect.,service_feedback_and_general,10
dfa8a2a120ca3d94fc5bd6c0bc878e97,account __email__ deactivated with no reason. resolve this ASAP.,"Due to our privacy policy, we will have to speak directly to the account holder. Please have them contact us via [URL]",app_and_account_support,10
f15a4f798420ec959d1b106a7954fe97,Can't see schedule a ride. Frustrated.,"Here to help, Ted! Check out [URL] for info on Scheduled Rides. Send us a note at [URL] for assistance.",service_feedback_and_general,5
5eb7a420213df05b36f7458a7a5c4c2a,how honest are your drivers compared to #lostphone,"If you left something behind, you can always visit [URL] to retrieve a phone number to contact your driver.",lost_item_inquiry,5
9d8d0decfa4e895f428c56a4191a087d,Hello uber_ support i have ready all my documents and I'm waiting for answers. .please check my gmail and my account .,"We're having trouble locating your email, Juan. Please DM us with your account email address so we can look into this for you.",pickup_and_route_issue,6
e84ec5dd36779b8df4fc1468a8b2b25c,MTSU Homecoming is around the corner! got a code for the good people of MTSU?,Hi there! Please reach out to [URL] and fill out the 4 boxes at the bottom so we can get in touch.,app_and_account_support,4
d11838b178394ad63d2ee729c48d3706,I just called for an uber and the guy said he didn't have any kittens what kind of national cat day is this ?,This event was one day only. Keep your eye out for more purrmotions coming soon.,service_feedback_and_general,8
0b1807a7585c30aa0337b9eec13065ef,Um why is my uber account banned..?,Sorry to hear about the trouble. Please visit [URL] for more information.,app_and_account_support,3
66a529b81b969c8814194b7d164e9b57,This is the second time I've had a driver named Muhammad start a conversation by asking what my ethnicity is.,Here to help! Connect with us through [URL] and we'll be in touch.,service_feedback_and_general,3
f76b3cc2a0e2c34b2140a5c0fe494d1c,open one in Vancouver please,"We're expanding quickly, so stay tuned for any changes. You can keep up to date with our cities on [URL]",service_feedback_and_general,2
71baa8723e031177c199758527e30e74,your web account management is super broken. Can’t get my receipts. Keeps telling me to verify number and add cards.,We've been in touch via DM!,fare_and_billing_dispute,2
4eefd09dc32a1ada2bbf02526288c9a3,"""You must be ready to burn yourself in your own flame; how could you rise anew if you have not first become ashes?"" Friedrich Nietzsche 🔥","We want to look further into this, Ellen! Please have your husband reach our team at [URL] so we can further assist.",service_feedback_and_general,6
781e3f0d785a37df86d5b31765bec0b3,We’re back online. Thanks for everyone’s patience.,We're here to help! Send us a DM with your email address so we can connect.,service_feedback_and_general,9
