id,customer_message,gold_intent,gold_decision,human_rating_relevance_1to5,human_rating_groundedness_1to5,human_rating_correctness_1to5,human_rating_helpfulness_1to5,human_escalation_decision,human_notes
uber_gold_001,Why did Uber charge me 45 dollars for a 5 mile trip in normal traffic? Please refund this difference.,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_002,I was charged twice on my credit card for the exact same ride from the airport!,fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_003,My Paytm wallet was debited but the driver said payment failed and made me pay cash too!,fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_004,How can I download a tax invoice and official PDF receipt for my ride last Tuesday?,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_005,Driver did not turn off the meter when I got dropped off and I got billed for extra 20 mins.,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_006,There is an unknown 15 dollar charge from Uber on my card and I haven't taken a ride in weeks.,fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_007,Was charged surge pricing 2.5x even though the upfront fare quote showed normal rate.,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_008,Can you please refund the toll charge? The driver avoided the toll road completely.,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_009,"Driver called me and asked me to cancel the trip because he didn't want to go south, and I got charged $5 fee!",cancellation_fee_issue,AUTO_HANDLE,,,,,,
uber_gold_010,"I cancelled within 45 seconds of requesting because ETA was too long, why was I charged cancellation fee?",cancellation_fee_issue,AUTO_HANDLE,,,,,,
uber_gold_011,"Driver was sitting at the same spot for 15 minutes and never came, so I had to cancel. Refund my fee!",cancellation_fee_issue,AUTO_HANDLE,,,,,,
uber_gold_012,Why do you keep charging cancellation fees when drivers refuse to turn on AC?,cancellation_fee_issue,ESCALATE_TO_HUMAN,,,,,,
uber_gold_013,I was charged two cancellation fees back to back because the app crashed while dispatching.,cancellation_fee_issue,ESCALATE_TO_HUMAN,,,,,,
uber_gold_014,Where in the app can I see if my cancellation fee was refunded?,cancellation_fee_issue,AUTO_HANDLE,,,,,,
uber_gold_015,"Driver was driving 90mph on the highway in heavy rain and weaving between trucks, I felt terrified.",driver_behavior_and_safety,ESCALATE_TO_HUMAN,,,,,,
uber_gold_016,The driver started shouting obscenities at me when I asked him to turn down the radio.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,,,,,,
uber_gold_017,"I suspect my driver was under the influence of alcohol, he was slurring his words.",driver_behavior_and_safety,ESCALATE_TO_HUMAN,,,,,,
uber_gold_018,Driver refused to drop me at my doorstep late at night and told me to get out on the main road.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,,,,,,
uber_gold_019,Driver made inappropriate personal comments about my appearance and asked for my personal number.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,,,,,,
uber_gold_020,Driver refused to start the trip unless I agreed to pay an extra 200 rupees cash off the app.,driver_behavior_and_safety,ESCALATE_TO_HUMAN,,,,,,
uber_gold_021,I accidentally left my iPhone 13 in the back seat of the Honda Civic that dropped me at 8 PM.,lost_item_inquiry,AUTO_HANDLE,,,,,,
uber_gold_022,Left my brown leather wallet containing my driver license and credit cards in the car!,lost_item_inquiry,AUTO_HANDLE,,,,,,
uber_gold_023,I left my work laptop bag in the trunk and the driver is not answering calls from the app.,lost_item_inquiry,ESCALATE_TO_HUMAN,,,,,,
uber_gold_024,Can Uber provide me the direct phone number of the driver? I left my house keys in the cab.,lost_item_inquiry,AUTO_HANDLE,,,,,,
uber_gold_025,"Left my passport in the vehicle and my international flight is in 3 hours, please help fast!",lost_item_inquiry,ESCALATE_TO_HUMAN,,,,,,
uber_gold_026,"Driver found my phone and returned it, how do I pay him the return reward fee?",lost_item_inquiry,AUTO_HANDLE,,,,,,
uber_gold_027,Driver took an absurdly long detour through heavy city traffic adding 30 minutes to the trip.,pickup_and_route_issue,AUTO_HANDLE,,,,,,
uber_gold_028,The pickup pin placed the driver 3 blocks away across a closed highway barrier.,pickup_and_route_issue,AUTO_HANDLE,,,,,,
uber_gold_029,Driver marked trip as completed before even reaching my destination!,pickup_and_route_issue,ESCALATE_TO_HUMAN,,,,,,
uber_gold_030,"Driver went the opposite direction on the one-way street, GPS in app is completely broken.",pickup_and_route_issue,AUTO_HANDLE,,,,,,
uber_gold_031,Why does the app keep changing my pickup point after booking?,pickup_and_route_issue,AUTO_HANDLE,,,,,,
uber_gold_032,My account was deactivated suddenly and I have no idea why. Please reactivate my account!,app_and_account_support,ESCALATE_TO_HUMAN,,,,,,
uber_gold_033,I changed my phone number and now cannot receive the 2FA SMS code to sign in.,app_and_account_support,AUTO_HANDLE,,,,,,
uber_gold_034,Entered promo code SAVE50 before booking but the discount was not applied to my receipt.,app_and_account_support,AUTO_HANDLE,,,,,,
uber_gold_035,App crashes every time I tap on Add Payment Method on my Samsung Galaxy S21.,app_and_account_support,AUTO_HANDLE,,,,,,
uber_gold_036,I received an email that someone logged into my account from another country!,app_and_account_support,ESCALATE_TO_HUMAN,,,,,,
uber_gold_037,Is Uber service available in Honolulu Hawaii for early morning airport pickups?,service_feedback_and_general,AUTO_HANDLE,,,,,,
uber_gold_038,"Shoutout to driver Marcus in Chicago, he was courteous and returned my umbrella. Great service!",service_feedback_and_general,AUTO_HANDLE,,,,,,
uber_gold_039,Can I request a child safety car seat with Uber in London?,service_feedback_and_general,AUTO_HANDLE,,,,,,
uber_gold_040,What is your policy on bringing service animals into vehicles?,service_feedback_and_general,AUTO_HANDLE,,,,,,
uber_gold_041,Do you offer student discounts or monthly ride passes?,service_feedback_and_general,AUTO_HANDLE,,,,,,
uber_gold_042,Yall.....uber tried to charge us $108 for a 25 min ass drive home tonight fuck wrong with y'all,fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_043,"Thanks for incorrectly charging me and only giving me half a refund. (Sarcasm btw) Seriously, I want a full refund.",fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_044,Driver started the trip without us and completed it. we were charged money also . but no way to contact customer care too.,fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_045,I’ve waited nearly 8 hours for a respond on the help feature on the app. Bout to chargeback if no response soon,fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_046,"Hey your Apps is corrupt and useless, Already added Credit Cards is not displayed, and I hate PayTm, will not pay via. Fix it",fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_047,can you please forward receipt &amp; invoices for trips in Johannesburg from 04.10 to 07.10.17.,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_048,Story of my life! The Driver also said to cancel as he doesn't want Paytm and can't choose cash in my acc :( [URL],fare_and_billing_dispute,AUTO_HANDLE,,,,,,
uber_gold_049,uber I WILL BE FILING MY COMPLAINTS AND I WILL APPRECIATE ALL MY MONEY BACK. I DO NOT APPRECIATE… [URL],fare_and_billing_dispute,ESCALATE_TO_HUMAN,,,,,,
uber_gold_050,just messaged you regarding an overcharge,fare_and_billing_dispute,AUTO_HANDLE,,,,,,
